model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8493604561565726,0.7895212285456188,0.8771097527597846,0.831013916500994,0.9191400387423488
Random Forest,0.9648250886114964,0.9589804494792619,0.9576680959766445,0.9583238234354315,0.992971111405654
