feature,importance
path_length,0.16971263041926854
domain_length,0.13415903390849987
special_character_count,0.13212772459649016
url_length,0.08876819845869714
slash_count,0.05847327402954403
domain_hyphen_count,0.04880148566618055
hyphen_count,0.04185766087931058
digit_ratio,0.037290848044849036
domain_digit_count,0.03572898211727619
subdomain_count,0.03459899476292509
digit_count,0.03206990842686172
brand_keyword_count,0.028666936316685158
dot_count,0.028479407272253184
equals_count,0.022153326377396507
query_parameter_count,0.016758805885057113
question_mark_count,0.011800293082092529
suspicious_tld,0.011703712616730552
suspicious_keyword_count,0.011108394565026887
underscore_count,0.0100749640256051
uses_https,0.009992431402939721
ampersand_count,0.009127427682521526
percent_encoding_count,0.00639513359230884
is_url_shortener,0.004745431196883106
has_fragment,0.0029913838298307347
at_symbol,0.002872671491313828
contains_at_symbol,0.0028429006418525123
is_ip_address,0.002467064827074306
has_port,0.002373252151020334
double_slash_in_path,0.0017688446090569554
has_punycode,8.887712444818305e-05
